Date	P	T
1999.01.15	17.0	-1.1
1999.02.15	42.0	0.4
1999.03.15	46.0	6.5
1999.04.15	60.0	10.7
1999.05.15	118.0	14.6
1999.06.15	87.0	17.5
1999.07.15	84.0	19.8
1999.08.15	120.0	18.1
1999.09.15	30.0	16.8
1999.10.15	37.0	10.3
1999.11.15	74.0	2.3
1999.12.15	71.0	-0.3
2000.01.15	9.0	-2.3
2000.02.15	15.0	3.8
2000.03.15	40.0	5.9
2000.04.15	37.0	12.9
2000.05.15	55.0	15.9
2000.06.15	28.0	19.5
2000.07.15	84.0	18.4
2000.08.15	62.0	21.5
2000.09.15	72.0	14.8
2000.10.15	88.0	11.9
2000.11.15	68.0	7.5
2000.12.15	65.0	1.8
2001.01.15	28.0	0.2
2001.02.15	9.0	3.4
2001.03.15	59.0	7.4
2001.04.15	54.0	8.9
2001.05.15	27.0	16.5
2001.06.15	74.0	16.8
2001.07.15	54.0	20.2
2001.08.15	51.0	21.1
2001.09.15	163.0	13.0
2001.10.15	11.0	12.9
2001.11.15	29.0	2.9
2001.12.15	17.0	-3.6
2002.01.15	4.0	-0.1
2002.02.15	35.0	4.7
2002.03.15	6.0	6.9
2002.04.15	60.0	9.2
2002.05.15	49.0	16.7
2002.06.15	41.0	20.2
2002.07.15	68.0	20.9
2002.08.15	57.0	19.6
2002.09.15	81.0	14.0
2002.10.15	86.0	10.0
2002.11.15	37.0	7.8
2002.12.15	69.0	-0.5
2003.01.15	35.8	-2.2
2003.02.15	7.1	-2.6
2003.03.15	6.1	5.8
2003.04.15	46.0	8.7
2003.05.15	30.2	17.2
2003.06.15	142.2	21.5
2003.07.15	35.1	20.9
2003.08.15	16.3	23.5
2003.09.15	104.6	14.5
2003.10.15	70.9	7.2
2003.11.15	26.4	6.7
2003.12.15	19.8	0.0
2004.01.15	43.7	-2.0
2004.02.15	38.1	-1.6
2004.03.15	88.4	3.8
2004.04.15	47.0	10.0
2004.05.15	43.4	12.5
2004.06.15	155.7	16.9
2004.07.15	27.9	18.8
2004.08.15	84.8	19.2
2004.09.15	20.6	14.3
2004.10.15	61.2	10.9
2004.11.15	35.1	4.4
2004.12.15	32.0	0.1
2005.01.15	3.8	-0.1
2005.02.15	64.8	-2.5
2005.03.15	23.6	3.5
2005.04.15	47.0	10.2
2005.05.15	50.3	15.1
2005.06.15	104.6	17.9
2005.07.15	165.6	19.3
2005.08.15	181.1	17.5
2005.09.15	66.5	15.4
2005.10.15	3.6	10.7
2005.11.15	39.1	3.1
2005.12.15	70.4	0.2
2006.01.15	44.2	-4.2
2006.02.15	24.9	-0.6
2006.03.15	41.4	3.2
2006.04.15	86.9	10.6
2006.05.15	133.6	13.8
2006.06.15	70.9	18.2
2006.07.15	45.0	22.3
2006.08.15	116.1	16.8
2006.09.15	8.1	16.4
2006.10.15	17.0	11.7
2006.11.15	47.8	6.5
2006.12.15	23.6	2.1
2007.01.15	38.4	3.9
2007.02.15	39.9	4.3
2007.03.15	99.6	7.0
2007.04.15	3.8	12.4
2007.05.15	93.2	15.9
2007.06.15	43.9	19.7
2007.07.15	82.6	21.0
2007.08.15	137.9	19.1
2007.09.15	171.2	12.9
2007.10.15	32.0	8.5
2007.11.15	21.6	3.4
2007.12.15	32.5	-1.1
2008.01.15	3.8	-2.2
2008.02.15	8.6	4.1
2008.03.15	53.3	5.8
2008.04.15	34.3	10.5
2008.05.15	37.1	15.5
2008.06.15	141.0	18.9
2008.07.15	149.4	19.7
2008.08.15	100.8	19.1
2008.09.15	42.4	14.0
2008.10.15	25.1	10.8
2008.11.15	40.6	5.6
2008.12.15	58.7	1.4
2009.01.15	76.5	-2.5
2009.02.15	41.1	1.1
2009.03.15	54.9	5.7
2009.04.15	20.6	13.2
2009.05.15	95.8	15.5
2009.06.15	145.8	16.9
2009.07.15	106.4	19.9
2009.08.15	81.3	19.9
2009.09.15	54.1	16.4
2009.10.15	58.7	9.5
2009.11.15	53.8	5.7
2009.12.15	55.4	0.7
2010.01.15	36.8	2.2
2010.02.15	40.9	0.6
2010.03.15	0.7	5.3
2010.04.15	53.8	10.0
2010.05.15	52.1	14.1
2010.06.15	101.6	18.2
2010.07.15	125.7	21.2
2010.08.15	128.0	18.4
2010.09.15	158.2	13.1
2010.10.15	44.2	7.5
2010.11.15	67.3	6.8
2010.12.15	50.5	-1.4
2011.01.15	8.9	-0.2
2011.02.15	4.1	-0.5
2011.03.15	25.3	5.7
2011.04.15	43.0	12.3
2011.05.15	45.1	15.2
2011.06.15	78.1	19.1
2011.07.15	78.7	19.3
2011.08.15	74.1	20.6
2011.09.15	31.2	18.0
2011.10.15	59.6	9.4
2011.11.15	0.2	1.8
2011.12.15	43.4	2.4
2012.01.15	11.6	1.8
2012.02.15	9.2	-2.6
2012.03.15	1.3	8.4
2012.04.15	45.5	10.9
2012.05.15	74.7	15.5
2012.06.15	51.1	19.8
2012.07.15	98.1	21.4
2012.08.15	19.0	21.6
2012.09.15	59.1	16.8
2012.10.15	70.0	10.1
2012.11.15	51.7	7.2
2012.12.15	25.5	0.3
2013.01.15	80.5	-0.3
2013.02.15	74.1	0.5
2013.03.15	79.4	2.8
2013.04.15	34.3	11.4
2013.05.15	67.5	14.6
2013.06.15	51.5	18.2
2013.07.15	12.1	22.1
2013.08.15	61.0	21.1
2013.09.15	94.1	14.4
2013.10.15	20.7	11.7
2013.11.15	137.1	6.0
2013.12.15	10.0	1.9
2014.01.15	24.7	2.7
2014.02.15	85.0	3.7
2014.03.15	12.6	9.0
2014.04.15	56.6	11.8
2014.05.15	96.7	14.2
2014.06.15	71.5	18.6
2014.07.15	119.2	20.3
2014.08.15	175.7	18.4
2014.09.15	158.1	15.2
2014.10.15	70.1	12.0
2014.11.15	32.2	7.7
2014.12.15	35.3	2.0
